UWI,CountryID,DataSourceOrganisationID,DefaultVerticalMeasurementID,FacilityName,OperatingEnvironmentID,QuadrantID,StateProvinceID,FacilityEvent,Lat,Lon,ResourceID,ResourceSecurityClassification,ResourceTypeID,SpudDate,WellName
2980,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,TWR-230,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1971-06-28T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1971-07-09T00:00:00'",52.226703,6.817144,srn:master-data/Well:2980:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1971-06-28T00:00:00+0000,TWR-230
2981,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,TWR-231,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1972-09-11T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1972-09-27T00:00:00'",52.225908,6.819702,srn:master-data/Well:2981:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1972-09-11T00:00:00+0000,TWR-231
2982,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,TWR-232,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1972-11-03T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1972-11-22T00:00:00'",52.225846,6.820301,srn:master-data/Well:2982:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1972-11-03T00:00:00+0000,TWR-232
2983,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,TWR-233,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1972-12-19T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1973-01-09T00:00:00'",52.225848,6.820915,srn:master-data/Well:2983:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1972-12-19T00:00:00+0000,TWR-233
2984,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,TWR-234,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1973-08-17T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1973-08-28T00:00:00'",52.225207,6.823339,srn:master-data/Well:2984:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1973-08-17T00:00:00+0000,TWR-234
2985,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,TWR-235,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1973-09-13T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1973-09-24T00:00:00'",52.224994,6.823845,srn:master-data/Well:2985:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1973-09-13T00:00:00+0000,TWR-235
2986,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,TWR-236,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1973-10-16T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1973-10-24T00:00:00'",52.22479,6.82435,srn:master-data/Well:2986:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1973-10-16T00:00:00+0000,TWR-236
2987,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,TWR-237,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1973-11-12T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1973-11-26T00:00:00'",52.224064,6.826391,srn:master-data/Well:2987:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1973-11-12T00:00:00+0000,TWR-237
2988,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,TWR-238,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1973-12-12T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1974-01-03T00:00:00'",52.223878,6.826926,srn:master-data/Well:2988:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1973-12-12T00:00:00+0000,TWR-238
2989,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,TWR-239,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1974-02-26T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1974-03-12T00:00:00'",52.221967,6.831797,srn:master-data/Well:2989:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1974-02-26T00:00:00+0000,TWR-239
